,sepal_length,sepal_width,petal_length,petal_width,species
0,5.1,3.4,1.5,0.2,setosa
1,5.0,3.5,1.6,0.6,setosa
2,4.9,3.1,1.5,0.1,setosa
3,5.4,3.7,1.5,0.2,setosa
4,4.3,3.0,1.1,0.1,setosa
5,4.5,2.3,1.3,0.3,setosa
6,4.6,3.6,1.0,0.2,setosa
7,4.8,3.4,1.9,0.2,setosa
8,4.4,3.2,1.3,0.2,setosa
9,5.1,3.5,1.4,0.2,setosa
10,5.1,3.8,1.6,0.2,setosa
11,5.5,4.2,1.4,0.2,setosa
12,5.0,3.2,1.2,0.2,setosa
13,5.8,4.0,1.2,0.2,setosa
14,5.3,3.7,1.5,0.2,setosa
15,4.8,3.0,1.4,0.3,setosa
16,4.7,3.2,1.6,0.2,setosa
17,4.9,3.1,1.5,0.1,setosa
18,5.1,3.7,1.5,0.4,setosa
19,4.8,3.4,1.6,0.2,setosa
20,4.7,3.2,1.3,0.2,setosa
21,4.6,3.4,1.4,0.3,setosa
22,5.4,3.4,1.7,0.2,setosa
23,5.0,3.4,1.5,0.2,setosa
24,5.1,3.8,1.9,0.4,setosa
25,5.5,2.5,4.0,1.3,versicolor
26,5.0,2.3,3.3,1.0,versicolor
27,6.3,2.3,4.4,1.3,versicolor
28,5.0,2.0,3.5,1.0,versicolor
29,6.1,2.9,4.7,1.4,versicolor
30,6.1,3.0,4.6,1.4,versicolor
31,6.3,2.5,4.9,1.5,versicolor
32,6.4,2.9,4.3,1.3,versicolor
33,5.8,2.6,4.0,1.2,versicolor
34,7.0,3.2,4.7,1.4,versicolor
35,5.7,2.9,4.2,1.3,versicolor
36,6.0,2.7,5.1,1.6,versicolor
37,6.0,3.4,4.5,1.6,versicolor
38,5.6,2.9,3.6,1.3,versicolor
39,5.1,2.5,3.0,1.1,versicolor
40,5.7,3.0,4.2,1.2,versicolor
41,5.7,2.6,3.5,1.0,versicolor
42,5.2,2.7,3.9,1.4,versicolor
43,6.1,2.8,4.0,1.3,versicolor
44,5.9,3.0,4.2,1.5,versicolor
45,6.9,3.1,4.9,1.5,versicolor
46,6.3,3.3,4.7,1.6,versicolor
47,5.9,3.2,4.8,1.8,versicolor
48,4.9,2.4,3.3,1.0,versicolor
49,5.6,2.7,4.2,1.3,versicolor
50,6.9,3.1,5.4,2.1,virginica
51,6.8,3.2,5.9,2.3,virginica
52,6.4,3.1,5.5,1.8,virginica
53,6.5,3.2,5.1,2.0,virginica
54,5.7,2.5,5.0,2.0,virginica
55,6.9,3.1,5.1,2.3,virginica
56,7.7,2.8,6.7,2.0,virginica
57,6.7,3.3,5.7,2.1,virginica
58,5.8,2.7,5.1,1.9,virginica
59,6.3,3.3,6.0,2.5,virginica
60,6.3,2.5,5.0,1.9,virginica
61,6.3,2.8,5.1,1.5,virginica
62,7.7,3.0,6.1,2.3,virginica
63,5.8,2.8,5.1,2.4,virginica
64,6.2,3.4,5.4,2.3,virginica
65,6.7,3.0,5.2,2.3,virginica
66,7.2,3.0,5.8,1.6,virginica
67,7.2,3.6,6.1,2.5,virginica
68,5.6,2.8,4.9,2.0,virginica
69,6.4,2.7,5.3,1.9,virginica
70,7.1,3.0,5.9,2.1,virginica
71,4.9,2.5,4.5,1.7,virginica
72,6.9,3.2,5.7,2.3,virginica
73,7.3,2.9,6.3,1.8,virginica
74,6.7,3.3,5.7,2.5,virginica
