,sepal_length,sepal_width,petal_length,petal_width,species
0,4.9,3.0,1.4,0.2,setosa
1,4.6,3.1,1.5,0.2,setosa
2,5.0,3.6,1.4,0.2,setosa
3,5.4,3.9,1.7,0.4,setosa
4,4.4,2.9,1.4,0.2,setosa
5,4.8,3.0,1.4,0.1,setosa
6,5.7,4.4,1.5,0.4,setosa
7,5.4,3.9,1.3,0.4,setosa
8,5.1,3.5,1.4,0.3,setosa
9,5.7,3.8,1.7,0.3,setosa
10,5.1,3.8,1.5,0.3,setosa
11,5.1,3.3,1.7,0.5,setosa
12,5.0,3.0,1.6,0.2,setosa
13,5.0,3.4,1.6,0.4,setosa
14,5.2,3.5,1.5,0.2,setosa
15,5.2,3.4,1.4,0.2,setosa
16,4.8,3.1,1.6,0.2,setosa
17,5.4,3.4,1.5,0.4,setosa
18,5.2,4.1,1.5,0.1,setosa
19,4.9,3.1,1.5,0.1,setosa
20,5.5,3.5,1.3,0.2,setosa
21,4.4,3.0,1.3,0.2,setosa
22,5.0,3.5,1.3,0.3,setosa
23,4.6,3.2,1.4,0.2,setosa
24,5.0,3.3,1.4,0.2,setosa
25,6.4,3.2,4.5,1.5,versicolor
26,5.5,2.3,4.0,1.3,versicolor
27,6.5,2.8,4.6,1.5,versicolor
28,5.7,2.8,4.5,1.3,versicolor
29,6.6,2.9,4.6,1.3,versicolor
30,6.0,2.2,4.0,1.0,versicolor
31,6.7,3.1,4.4,1.4,versicolor
32,5.6,3.0,4.5,1.5,versicolor
33,5.8,2.7,4.1,1.0,versicolor
34,6.2,2.2,4.5,1.5,versicolor
35,5.6,2.5,3.9,1.1,versicolor
36,6.1,2.8,4.7,1.2,versicolor
37,6.6,3.0,4.4,1.4,versicolor
38,6.8,2.8,4.8,1.4,versicolor
39,6.7,3.0,5.0,1.7,versicolor
40,6.0,2.9,4.5,1.5,versicolor
41,5.5,2.4,3.8,1.1,versicolor
42,5.5,2.4,3.7,1.0,versicolor
43,5.8,2.7,3.9,1.2,versicolor
44,5.4,3.0,4.5,1.5,versicolor
45,6.7,3.1,4.7,1.5,versicolor
46,5.6,3.0,4.1,1.3,versicolor
47,5.5,2.6,4.4,1.2,versicolor
48,6.2,2.9,4.3,1.3,versicolor
49,5.7,2.8,4.1,1.3,versicolor
50,5.8,2.7,5.1,1.9,virginica
51,6.3,2.9,5.6,1.8,virginica
52,6.5,3.0,5.8,2.2,virginica
53,7.6,3.0,6.6,2.1,virginica
54,6.7,2.5,5.8,1.8,virginica
55,6.8,3.0,5.5,2.1,virginica
56,6.4,3.2,5.3,2.3,virginica
57,6.5,3.0,5.5,1.8,virginica
58,7.7,3.8,6.7,2.2,virginica
59,7.7,2.6,6.9,2.3,virginica
60,6.0,2.2,5.0,1.5,virginica
61,6.3,2.7,4.9,1.8,virginica
62,7.2,3.2,6.0,1.8,virginica
63,6.2,2.8,4.8,1.8,virginica
64,6.1,3.0,4.9,1.8,virginica
65,6.4,2.8,5.6,2.1,virginica
66,7.4,2.8,6.1,1.9,virginica
67,7.9,3.8,6.4,2.0,virginica
68,6.4,2.8,5.6,2.2,virginica
69,6.1,2.6,5.6,1.4,virginica
70,6.3,3.4,5.6,2.4,virginica
71,6.0,3.0,4.8,1.8,virginica
72,6.7,3.1,5.6,2.4,virginica
73,6.5,3.0,5.2,2.0,virginica
74,5.9,3.0,5.1,1.8,virginica
