,sepal_length,sepal_width,petal_length,petal_width,species
0,4.9,3.0,1.4,0.2,setosa
1,4.7,3.2,1.3,0.2,setosa
2,4.6,3.1,1.5,0.2,setosa
3,5.4,3.9,1.7,0.4,setosa
4,4.9,3.1,1.5,0.1,setosa
5,5.4,3.7,1.5,0.2,setosa
6,4.3,3.0,1.1,0.1,setosa
7,5.8,4.0,1.2,0.2,setosa
8,5.7,4.4,1.5,0.4,setosa
9,5.4,3.9,1.3,0.4,setosa
10,5.1,3.5,1.4,0.3,setosa
11,5.7,3.8,1.7,0.3,setosa
12,5.1,3.8,1.5,0.3,setosa
13,5.1,3.3,1.7,0.5,setosa
14,4.8,3.1,1.6,0.2,setosa
15,4.9,3.1,1.5,0.1,setosa
16,5.0,3.2,1.2,0.2,setosa
17,5.5,3.5,1.3,0.2,setosa
18,4.4,3.0,1.3,0.2,setosa
19,5.1,3.4,1.5,0.2,setosa
20,5.0,3.5,1.3,0.3,setosa
21,4.4,3.2,1.3,0.2,setosa
22,5.1,3.8,1.9,0.4,setosa
23,4.8,3.0,1.4,0.3,setosa
24,4.6,3.2,1.4,0.2,setosa
25,6.4,3.2,4.5,1.5,versicolor
26,6.9,3.1,4.9,1.5,versicolor
27,5.5,2.3,4.0,1.3,versicolor
28,5.7,2.8,4.5,1.3,versicolor
29,5.2,2.7,3.9,1.4,versicolor
30,5.0,2.0,3.5,1.0,versicolor
31,6.1,2.9,4.7,1.4,versicolor
32,5.6,2.9,3.6,1.3,versicolor
33,6.7,3.1,4.4,1.4,versicolor
34,5.6,3.0,4.5,1.5,versicolor
35,5.8,2.7,4.1,1.0,versicolor
36,6.2,2.2,4.5,1.5,versicolor
37,5.6,2.5,3.9,1.1,versicolor
38,6.1,2.8,4.7,1.2,versicolor
39,5.5,2.4,3.8,1.1,versicolor
40,5.4,3.0,4.5,1.5,versicolor
41,6.0,3.4,4.5,1.6,versicolor
42,6.7,3.1,4.7,1.5,versicolor
43,5.6,3.0,4.1,1.3,versicolor
44,5.5,2.5,4.0,1.3,versicolor
45,5.5,2.6,4.4,1.2,versicolor
46,5.8,2.6,4.0,1.2,versicolor
47,5.6,2.7,4.2,1.3,versicolor
48,5.7,3.0,4.2,1.2,versicolor
49,6.2,2.9,4.3,1.3,versicolor
50,5.8,2.7,5.1,1.9,virginica
51,7.1,3.0,5.9,2.1,virginica
52,6.3,2.9,5.6,1.8,virginica
53,7.6,3.0,6.6,2.1,virginica
54,7.2,3.6,6.1,2.5,virginica
55,6.5,3.2,5.1,2.0,virginica
56,5.7,2.5,5.0,2.0,virginica
57,5.8,2.8,5.1,2.4,virginica
58,6.4,3.2,5.3,2.3,virginica
59,6.5,3.0,5.5,1.8,virginica
60,7.7,3.8,6.7,2.2,virginica
61,7.7,2.6,6.9,2.3,virginica
62,6.0,2.2,5.0,1.5,virginica
63,6.3,2.7,4.9,1.8,virginica
64,7.4,2.8,6.1,1.9,virginica
65,6.1,2.6,5.6,1.4,virginica
66,7.7,3.0,6.1,2.3,virginica
67,6.3,3.4,5.6,2.4,virginica
68,6.0,3.0,4.8,1.8,virginica
69,6.9,3.1,5.4,2.1,virginica
70,6.7,3.1,5.6,2.4,virginica
71,5.8,2.7,5.1,1.9,virginica
72,6.7,3.3,5.7,2.5,virginica
73,6.7,3.0,5.2,2.3,virginica
74,6.5,3.0,5.2,2.0,virginica
